Fine_Mode_AOD,Coarse_Mode_AOD,FineModeFraction,Angstrom_Exponent(AE),AI,AT,CO_MF,HCHO_Amount,NO2_Column,Scattering_angle,SO2_Column,SSA,Aerosol_Type
0.241091,0.126912,0.652131,1.195784,0.1,299.655914,139.168155,2.58E+15,3.90E+15,143.250067,1.62,0.93,SA
0.228057,0.179099,0.555643,0.826982,0.82,299.033997,149.746699,3.40E+15,2.77E+15,96.1269778,0.12,0.89,MX
0.035671,0.039633,0.465347,1.397047,0.18,297.375763,113.379051,-6.37E+14,1.37E+15,143.703528,0.2,0.95,MX
0.087866,0.193107,0.308879,0.640461,0.42,297.235321,124.866381,4.69E+15,8.62E+14,146.671548,0.01,0.93,DU
0.016654,0.074768,0.179713,0.472162,0.34,295.8125,124.942744,3.93E+14,2.04E+15,130.553428,-0.06,0.94,DU
0.020093,0.052393,0.284564,0.881825,0.16,295.737732,114.034073,2.07E+15,1.44E+15,93.6099979,0.07,0.92,DU
0.028374,0.103491,0.219004,0.493622,0.34,296.231598,130.278311,2.32E+14,1.39E+15,147.919909,0.19,0.94,DU
0.154611,0.280112,0.353685,0.709922,0.55,299.953064,130.621891,3.82E+15,3.47E+15,146.196054,0.43,0.92,DU
0.166248,0.295009,0.360547,0.685841,0.71,299.06427,133.495679,5.85E+15,2.15E+15,96.2646276,0.19,0.91,DU
0.135773,0.22722,0.372649,0.784337,0.51,300.752106,146.743155,3.65E+15,3.95E+15,96.4399978,0.4,0.92,DU
0.085232,0.190488,0.301891,0.613653,0.32,299.937836,140.571706,3.61E+15,2.43E+15,153.9124,0.52,0.93,DU
0.103939,0.222855,0.317296,0.625741,0.59,300.186401,171.386198,-1.21E+16,2.41E+15,101.216713,0.37,0.91,DU
0.02475,0.094903,0.207348,0.460881,0.47,298.278046,118.706591,5.68E+15,1.28E+15,147.390878,0.08,0.91,DU
0.041035,0.129929,0.239195,0.526057,0.45,296.39267,121.933351,4.24E+15,8.71E+14,148.628498,-0.05,0.89,DU
0.068527,0.197845,0.260598,0.458428,1.25,297.066467,123.103284,2.07E+15,1.25E+15,99.574557,0.24,0.89,DU
0.176947,0.581887,0.232652,0.391916,0.83,300.033997,130.281328,3.16E+15,2.67E+15,150.091107,0.17,0.96,UN
